disease,symptom
previous pregnancies ,['fibroid tumor']
primigravida,['fibroid tumor']
prodrome,['hernia hiatal']
productive cough,"['pneumonia', 'asthma', 'acquired immuno-deficiency syndrome HIV hiv infections', 'embolism pulmonary', 'bronchitis', 'upper respiratory infection', 'Pneumocystis carinii pneumonia', 'respiratory failure', 'spasm bronchial']"
projectile vomiting,"['hepatitis', 'diverticulosis', 'hepatitis B']"
prostate tender,['osteomyelitis']
prostatism,"['hypothyroidism', 'osteoporosis', 'bacteremia', 'failure kidney', 'malignant tumor of colon carcinoma colon', 'pneumothorax', 'dependence', 'affect labile']"
proteinemia,['fibroid tumor']
pruritus,"['infection', 'cellulitis', 'cirrhosis', 'exanthema', 'hepatitis', 'thrombocytopaenia', 'hyperglycemia', 'melanoma', 'personality disorder', 'thrombus']"
pulse absent,['hernia']
pulsus paradoxus,"['malignant neoplasms', 'endocarditis']"
pustule,"['bacteremia', 'hyperglycemia']"
qt interval prolonged,"['malignant neoplasm of prostate carcinoma prostate', 'hypoglycemia', 'cholecystitis']"
r wave feature,['obesity']
rale,"['diabetes', 'pneumonia', 'failure heart congestive', 'myocardial infarction', 'dementia', 'insufficiency renal', 'septicemia systemic infection sepsis (invertebrate)', 'deep vein thrombosis', 'cardiomyopathy', 'chronic kidney failure', 'ischemia', 'paroxysmal dyspnea', 'malignant neoplasm of prostate carcinoma prostate', 'edema pulmonary', 'overload fluid', 'malignant neoplasm of lung carcinoma of lung', 'emphysema pulmonary', 'dependence']"
rambling speech,['transient ischemic attack']
rapid shallow breathing,['upper respiratory infection']
red blotches,['diverticulitis']
redness,"['cellulitis', 'deep vein thrombosis', 'exanthema', 'lymphatic diseases', 'osteomyelitis', 'gout', 'respiratory failure']"
regurgitates after swallowing,['ketoacidosis diabetic']
renal angle tenderness,"['infection urinary tract', 'obesity morbid']"
rest pain,['peripheral vascular disease']
retch,['gastroenteritis']
retropulsion,['malignant neoplasm of breast carcinoma breast']
rhd positive,['neutropenia']
rhonchus,"['pneumonia', 'anemia', 'dementia', 'malignant neoplasm of prostate carcinoma prostate', 'upper respiratory infection', ""Alzheimer's disease"", 'spasm bronchial']"
rigor - temperature-associated observation,['pancreatitis']
rolling of eyes,['tonic-clonic epilepsy tonic-clonic seizures']
room spinning,"['transient ischemic attack', 'primary carcinoma of the liver cells', 'emphysema pulmonary']"
satiety early,"['gastroesophageal reflux disease', 'neoplasm', 'adenocarcinoma']"
scar tissue,"['emphysema pulmonary', 'spasm bronchial', 'tachycardia sinus']"
sciatica,['stenosis aortic valve']
scleral icterus,"['gastroenteritis', 'influenza']"
scratch marks,"['cellulitis', 'exanthema', 'personality disorder']"
sedentary,['obesity morbid']
seizure,"['accident cerebrovascular', 'confusion', 'epilepsy', 'hemiparesis', 'incontinence', 'pneumonia aspiration', 'hyperglycemia', 'ketoacidosis diabetic', 'chronic alcoholic intoxication', 'dependence']"
sensory discomfort,"['gastroesophageal reflux disease', 'dehydration', 'suicide attempt', 'spasm bronchial']"
shooting pain,['malignant tumor of colon carcinoma colon']
shortness of breath,"['hypertensive disease', 'diabetes', 'coronary arteriosclerosis ,coronary heart disease', 'pneumonia', 'failure heart congestive', 'asthma', 'myocardial infarction', 'hypercholesterolemia', 'anemia', 'chronic obstructive airway disease', 'insufficiency renal', 'hypothyroidism', 'deep vein thrombosis', 'embolism pulmonary', 'cardiomyopathy', 'chronic kidney failure', 'peripheral vascular disease', 'hyperlipidemia', 'obesity', 'ischemia', 'mitral valve insufficiency', 'arthritis', 'bronchitis', 'paroxysmal dyspnea', 'edema pulmonary', 'stenosis aortic valve', 'overload fluid', 'failure kidney', 'sickle cell anemia', 'failure heart', 'upper respiratory infection', 'hypertension pulmonary', 'tricuspid valve insufficiency', 'kidney disease', 'fibroid tumor', 'respiratory failure', 'malignant neoplasm of lung carcinoma of lung', 'primary carcinoma of the liver cells', 'spasm bronchial', 'endocarditis', 'effusion pericardial pericardial effusion body substance', 'chronic alcoholic intoxication', 'influenza', 'thrombus', 'tachycardia sinus', 'adhesion']"
side pain,"['deglutition disorder', 'personality disorder']"
sinus rhythm,"['peripheral vascular disease', 'ischemia', 'edema pulmonary', 'diverticulitis', 'respiratory failure', 'cholecystitis']"
sleeplessness,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'arthritis', 'suicide attempt', 'personality disorder', 'chronic alcoholic intoxication', 'delusion', 'affect labile']"
sleepy,"['confusion', 'epilepsy', 'peripheral vascular disease', 'tonic-clonic epilepsy tonic-clonic seizures']"
slowing of urinary stream,"['failure kidney', 'neuropathy']"
sneeze,['influenza']
sniffle,['osteoporosis']
snore,"['obesity', 'respiratory failure', 'influenza']"
snuffle,"['bronchitis', 'sickle cell anemia', 'upper respiratory infection', 'neutropenia', 'influenza']"
soft tissue swelling,['pneumothorax']
sore to touch,"['cellulitis', 'carcinoma', 'peripheral vascular disease', 'cirrhosis', 'pancreatitis', 'hernia', 'diverticulitis', 'osteomyelitis', 'gastritis', 'gout', 'hyperglycemia', 'gastroenteritis', 'thrombus', 'hernia hiatal', 'cholelithiasis biliary calculus', 'ileus']"
spasm,"['incontinence', 'deglutition disorder', 'tonic-clonic epilepsy tonic-clonic seizures']"
speech slurred,"['accident cerebrovascular', 'confusion', 'hypothyroidism', 'hemiparesis', 'transient ischemic attack']"
splenomegaly,"['cirrhosis', 'lymphatic diseases', 'primary carcinoma of the liver cells', 'neutropenia', 'migraine disorders']"
spontaneous rupture of membranes,"['acquired immuno-deficiency syndrome HIV hiv infections', 'septicemia systemic infection sepsis (invertebrate)', 'hepatitis', 'Pneumocystis carinii pneumonia']"
sputum purulent,"['chronic obstructive airway disease', 'effusion pericardial pericardial effusion body substance']"
st segment depression,"['myocardial infarction', 'hypercholesterolemia']"
st segment elevation,['myocardial infarction']
stahli's line,"['hemiparesis', 'transient ischemic attack', 'hypertension pulmonary']"
stiffness,"['degenerative polyarthritis', 'incontinence', 'deglutition disorder', 'parkinson disease']"
stinging sensation,['hemiparesis']
stool color yellow,"['pancreatitis', 'thrombus', 'pancytopenia']"
stridor,"['bronchitis', 'deglutition disorder']"
stuffy nose,"['upper respiratory infection', 'dependence']"
stupor,"['hemiparesis', 'pneumonia aspiration', 'primary carcinoma of the liver cells']"
suicidal,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'suicide attempt', 'manic disorder', 'manic disorder', 'chronic alcoholic intoxication', 'delirium', 'dependence', 'delusion']"
superimposition,"['lymphoma', 'neuropathy']"
sweat sweating increased,"['hypertensive disease', 'diabetes', 'coronary arteriosclerosis ,coronary heart disease', 'myocardial infarction', 'hypercholesterolemia', 'gastroesophageal reflux disease', 'hyperlipidemia', 'ischemia', 'paroxysmal dyspnea', 'edema pulmonary', 'tachycardia sinus']"
swelling,"['infection', 'anemia', 'insufficiency renal', 'cellulitis', 'deep vein thrombosis', 'chronic kidney failure', 'exanthema', 'arthritis', 'lymphatic diseases', 'malignant neoplasm of breast carcinoma breast', 'overload fluid', 'osteomyelitis', 'gout']"
symptom aggravating factors,"['asthma', 'upper respiratory infection', 'emphysema pulmonary', 'influenza']"
syncope,"['hypertensive disease', 'myocardial infarction', 'hypercholesterolemia', 'dementia', 'hypothyroidism', 'dehydration', 'cardiomyopathy', 'mitral valve insufficiency', 'arthritis', 'osteoporosis', 'transient ischemic attack', 'incontinence', 'stenosis aortic valve', 'parkinson disease']"
syncope blackout history of - blackout,['dehydration']
systolic ejection murmur,"['failure heart', 'malignant tumor of colon carcinoma colon']"
systolic murmur,"['obesity', 'stenosis aortic valve', 'decubitus ulcer']"
t wave inverted,"['myocardial infarction', 'hypercholesterolemia', 'tachycardia sinus']"
tachypnea,"['pneumonia', 'acquired immuno-deficiency syndrome HIV hiv infections', 'septicemia systemic infection sepsis (invertebrate)', 'embolism pulmonary', 'edema pulmonary', 'hepatitis', 'thrombocytopaenia', 'hepatitis B', 'respiratory failure', 'spasm bronchial', 'hyperbilirubinemia']"
tenesmus,"['colitis', 'neuropathy', 'emphysema pulmonary']"
terrify,"['psychotic disorder', 'paranoia', 'delusion']"
thicken,"['malignant neoplasms primary malignant neoplasm', 'neoplasm', 'carcinoma', 'mitral valve insufficiency', 'hernia', 'diverticulitis', 'colitis', 'encephalopathy', 'neoplasm metastasis', 'malignant neoplasms', 'primary carcinoma of the liver cells', 'endocarditis', 'cholelithiasis biliary calculus', 'ileus']"
throat sore,"['bronchitis', 'upper respiratory infection', 'candidiasis oralcandidiasis', 'spasm bronchial', 'influenza']"
throbbing sensation quality,['gastroesophageal reflux disease']
tinnitus,['lymphoma']
titubation,['deglutition disorder']
todd paralysis,['suicide attempt']
tonic seizures,['encephalopathy']
transaminitis,"['anemia', 'hepatitis', 'pneumonia aspiration', 'Pneumocystis carinii pneumonia', 'lymphoma', 'candidiasis oralcandidiasis', 'neutropenia']"
transsexual,['personality disorder']
tremor,"['depression mental , depressive disorder', 'confusion', 'anxiety state', 'epilepsy', 'psychotic disorder', 'bipolar disorder', 'incontinence', 'suicide attempt', 'parkinson disease', ""Alzheimer's disease"", 'tonic-clonic epilepsy tonic-clonic seizures', 'chronic alcoholic intoxication', 'dependence']"
tremor resting,"[""Alzheimer's disease""]"
tumor cell invasion,"['anemia', 'neoplasm', 'carcinoma', 'cirrhosis', 'malignant neoplasm of prostate carcinoma prostate', 'neoplasm metastasis', 'tonic-clonic epilepsy tonic-clonic seizures', 'primary carcinoma of the liver cells']"
unable to concentrate,"['depression mental , depressive disorder', 'suicide attempt']"
unconscious state,"['dementia', 'confusion', 'incontinence', 'hypoglycemia', 'suicide attempt', 'glaucoma', 'chronic alcoholic intoxication']"
uncoordination,"['encephalopathy', 'influenza']"
underweight underweight,['schizophrenia']
unhappy,"['carcinoma', 'incontinence', 'obesity morbid']"
unresponsiveness,"['diabetes', 'accident cerebrovascular', 'dementia', 'confusion', 'septicemia systemic infection sepsis (invertebrate)', 'embolism pulmonary', 'epilepsy', 'chronic kidney failure', 'peripheral vascular disease', 'kidney failure acute', 'hemiparesis', 'incontinence', 'bacteremia', 'failure kidney', 'hypoglycemia', 'pneumonia aspiration', 'suicide attempt', 'parkinson disease', 'encephalopathy', 'tonic-clonic epilepsy tonic-clonic seizures', 'respiratory failure', 'delirium']"
unsteady gait,"['dementia', 'degenerative polyarthritis', 'hypothyroidism', 'diverticulitis', 'glaucoma', 'delirium', 'adhesion']"
unwell,['dehydration']
urge incontinence,"['osteoporosis', 'incontinence', 'malignant neoplasm of prostate carcinoma prostate', 'colitis']"
urgency of micturition,"['insufficiency renal', 'edema pulmonary', 'diverticulitis', 'pyelonephritis']"
urinary hesitation,"['osteomyelitis', 'malignant tumor of colon carcinoma colon', 'ketoacidosis diabetic']"
urinoma,['bacteremia']
verbal auditory hallucinations,"['depression mental , depressive disorder', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'manic disorder']"
verbally abusive behavior,"['manic disorder', 'delirium', 'delusion']"
vertigo,"['hypertensive disease', 'diabetes', 'osteoporosis', 'transient ischemic attack', 'malignant neoplasm of prostate carcinoma prostate']"
vision blurred,"['transient ischemic attack', 'ketoacidosis diabetic']"
vomiting,"['diabetes', 'hypothyroidism', 'dehydration', 'chronic kidney failure', 'mitral valve insufficiency', 'pancreatitis', 'diverticulitis', 'ulcer peptic', 'gastritis', 'bacteremia', 'hepatitis', 'colitis', 'tricuspid valve insufficiency', 'malignant tumor of colon carcinoma colon', 'ketoacidosis diabetic', 'melanoma', 'spasm bronchial', 'pyelonephritis', 'thrombus', 'hernia hiatal', 'migraine disorders', 'cholelithiasis biliary calculus', 'tachycardia sinus', 'adhesion']"
weepiness,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'suicide attempt', 'personality disorder', 'delusion']"
weight gain,"['hypothyroidism', 'cardiomyopathy', 'paroxysmal dyspnea', 'overload fluid']"
welt,['lymphoma']
wheelchair bound,"['epilepsy', 'hepatitis B', ""Alzheimer's disease""]"
wheezing,"['pneumonia', 'failure heart congestive', 'asthma', 'chronic obstructive airway disease', 'embolism pulmonary', 'bronchitis', 'edema pulmonary', 'upper respiratory infection', 'hyperglycemia', 'hemorrhoids', 'obesity morbid']"
withdraw,"['psychotic disorder', 'suicide attempt', 'parkinson disease', 'delirium']"
worry,"['depression mental , depressive disorder', 'hypercholesterolemia', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'schizophrenia', 'suicide attempt', 'parkinson disease', 'personality disorder', 'delirium', 'delusion']"
yellow sputum,"['pneumonia', 'embolism pulmonary', 'cardiomyopathy', 'chronic kidney failure', 'Pneumocystis carinii pneumonia', 'hepatitis B']"
