disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Hartnup disorder,Diarrhea,Mood changes,Nervous system neurologic problems such as abnormal muscle tone and uncoordinated movements,Red scaly skin rash usually when skin is exposed to sunlight,Sensitivity to light photosensitivity,Short stature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head injury - first aid,Head injuries may cause bleeding in brain tissue and layers that surround brain subarachnoid hemorrhage subdural hematoma epidural hematoma,Even if skull is not fractured brain can hit inside of skull and be bruised,The head may look fine but problems could result from bleeding or swelling inside skull,The spinal cord is also likely to be injured in any serious trauma,Some head injuries cause changes in brain function,This is calledtraumatic brain injury,Concussion ismild traumatic brain injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head lice,Very bad itching of scalp,Small red bumps on scalp neck and shoulders bumps may become crusty and ooze,Tiny white specks eggs or nits on bottom of each hair that are hard to get off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearing loss - infants,A newborn baby with hearing loss may not startle whenre isloud noise nearby,Older infants who should respond to familiar voices may show no reaction when spoken to,Children should be using single words by 15 months and simple 2word sentences by age 2,Ify do not reachse milestones cause may be hearing loss,Some children may not be diagnosed with hearing loss untily are in school,This is true even ify were born with hearing loss,Inattention and falling behind in class work may be signs of undiagnosed hearing loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,A tight band around chest,Bad indigestion,Something heavy sitting on your chest,Squeezing or heavy pressure,The pain most often lasts longer than 20 minutes,Rest andmedicine to relax blood vessels called nitroglycerin may not completely relieve pain ofheart attack,Anxiety,Cough,Fainting,Lightheadedness dizziness,Nausea and vomiting,Palpitations feeling like your heart is beating too fast or irregularly,Shortness of breath,Sweating which may be very heavy,Some people older adults people with diabetes and women may have little or no chest pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack first aid,Changes in mental status especially in older adults,Chest pain that feels like pressure squeezing or fullness,The pain is most often in center of chest,It may also be felt in jaw shoulder arms back and stomach,It can last for more thanfew minutes or come and go,Cold sweat,Lightheadedness,Nausea more common in women,Vomiting,Numbness aching or tingling in arm usually left arm but right arm may be affected alone or along with left,Shortness of breath,Weakness or fatigue especially in older adults and in women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart block,Chest pain,Dizziness,Feeling faint,Tiredness,Heart palpitations,Palpitations are when your heart feels like it is pounding beating irregularly or racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart failure - overview,Cough,Fatigue weakness faintness,Loss of appetite,Need to urinate at night,Pulse that feels fast or irregular orsensation of feeling heartbeat palpitations,Shortness of breath when you are active or after you lie down,Swollen enlarged liver or abdomen,Swollen feet and ankles,Waking up from sleep aftercouple of hours due to shortness of breath,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart failure in children - overview,Breathing problems such as rapid breathing or breathing that appears to take more effort,These may be noticed when child is resting or when feeding or crying,Taking longer than normal to feed or becoming too tired to continue feeding aftershort time,Noticingfast or strong heart beat through chest wall when child is at rest,Not gaining enough weight,Cough,Fatigue weakness faintness,Loss of appetite,Need to urinate at night,Pulse that feels fast or irregular orsensation of feeling heart beat palpitations,Shortness of breath when child is active or after lying down,Swollen enlarged liver or abdomen,Swollen feet and ankles,Waking up from sleep aftercouple of hours due to shortness of breath,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat emergencies,Muscle cramps and pains that most often occur in legs or abdomen,Very heavy sweating,Fatigue,Thirst,Headache,"Dizziness
   lightheadedness",Weakness,Nausea and vomiting,Cool moist skin,Dark urine,Fever temperature above 104 f,Irrational behavior,Extreme confusion,Dry hot and red skin,Rapid shallow breathing,Rapid weak pulse,Seizures,Unconsciousness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helicobacter pylori infection,Feeling of fullness or bloating and problems drinking as much fluid as usual,Hunger andempty feeling in stomach often 1 to 3 hours aftermeal,Mild nausea that may go away with vomiting,Loss of appetite,Weight loss without trying,Burping,Bloody or dark tarry stools or bloody vomit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLP syndrome,Fatigue or feeling unwell,Fluid retention and excess weight gain,Headache,Nausea and vomiting that continues to get worse,Pain in upper right or mid part of abdomen,Blurry vision,Nosebleed or other bleeding that will not stop easily rare,Seizures or convulsions rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemangioma,A red to reddishpurple raised sore lesion on skin,A massive raised tumor with blood vessels,Most hemangiomas are on face and neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemochromatosis,Abdominal pain,Fatigue lack of energy weakness,Generalized darkening of skin color often referred to as bronzing,Joint pain,Loss of body hair,Loss of sexual desire,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemoglobin C disease,In some cases jaundice may occur,Some people may develop gallstones that need to be treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemolytic anemia,Feeling weak or tired more often than usual or with exercise,Feelings that your heart is pounding or racing,Headaches,Problems concentrating or thinking,Lightheadedness when you stand up,Pale skin,Shortness of breath,Sore tongue,Enlarged spleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemolytic disease of newborn,Edema swelling under surface of skin,Newborn jaundice which occurs sooner and is more severe than normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemolytic-uremic syndrome,Blood in stools,Irritability,Fever,Lethargy,Vomiting and diarrhea,Weakness,Bruising,Decreased consciousness,Low urine output,No urine output,Pallor,Seizures  rare,Skin rash that looks like fine red spots petechiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemophilia,Mild cases may not be detected until later in life after excessive bleeding following surgery orinjury,In worst cases bleeding occurs for no reason,Internal bleeding may occur anywhere and bleeding into joints is common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemophilia A,Bleeding into joints with associated pain and swelling,Blood in urine or stool,Bruising,Gastrointestinal tract and urinary tract bleeding,Nosebleeds,Prolonged bleeding from cuts tooth extraction and surgery,Bleeding that starts without cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemophilia B,Bleeding into joints with associated pain and swelling,Blood in urine or stool,Bruising,Gastrointestinal tract and urinary tract bleeding,Nosebleeds,Prolonged bleeding from cuts tooth extraction and surgery,Bleeding that starts without cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemorrhoids,Painless bright red blood from rectum,Anal itching,Anal ache or pain especially while sitting,Pain during bowel movements,One or more hard tender lumps near anus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemothorax,Anxiety,Chest pain,Low blood pressure shock,Pale cool and clammy skin,Rapid heart rate,Rapid shallow breathing,Restlessness,Shortness of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henoch-Schönlein purpura,Purple spots on skin purpura,This most often occurs over buttocks lower legs and elbows,Abdominal pain,Joint pain,Diarrhea sometimes bloody,Hives or angioedema,Nausea and vomiting,Swelling and pain in scrotum of boys,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatic hemangioma,Some hemangiomas may cause bleeding or interfere with organ function,In rare casesthe hemangioma may rupture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatic ischemia,Loss of appetite,Feeling of general discomfort,Jaundice,Blood clots in livers main artery may cause abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatic vein obstruction (Budd-Chiari),Abdominal swelling or stretching due to fluid in abdomen,Pain in right upper abdomen,Vomiting blood,Yellowing of skin jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis,Pain or bloating in belly area,Dark urine and pale or claycolored stools,Fatigue,Low grade fever,Itching,Jaundice yellowing of skin or eyes,Loss of appetite,Nausea and vomiting,Weight loss,If you have any risk factors for either type of hepatitis you should be tested often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis A,Dark urine,Fatigue,Itching,Loss of appetite,Lowgrade fever,Nausea and vomiting,Pale or claycolored stools,Yellow skin jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis- children,Dark urine,Tiredness,Loss of appetite,Fever,Nausea and vomiting,Pale stools,Abdominal pain over liver,Yellow skin and eyes jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis B,You may feel sick forperiod of days or weeks,You may become very ill very quickly called fulminant hepatitis,B may not appear for up to 6 months after time of infection,Appetite loss,Fatigue,Low fever,Muscle and joint aches,Nausea and vomiting,Yellow skin and dark urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis B - children,Appetite loss,Fatigue,Low fever,Muscle and joint pain,Nausea and vomiting,Yellow skin and eyes jaundice,Dark urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C,Pain in right upper abdomen,Abdominal swelling due to fluid ascites,Claycolored or pale stools,Dark urine,Fatigue,Fever,Itching,Jaundice,Loss of appetite,Nausea and vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis C - children,Pain in right upper abdomen,Claycolored or pale stools,Dark urine,Tiredness,Fever,Yellow skin and eyes jaundice,Loss of appetite,Nausea and vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis D (Delta agent),Abdominal pain,Darkcolored urine,Fatigue,Jaundice,Joint pain,Loss of appetite,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatocerebral degeneration,Difficulty walking,Impaired intellectual function,Jaundice,Muscle spasm myoclonus,Rigidity,Shaking of arms head tremor,Twitching,Uncontrolled body movements chorea,Unsteady walking ataxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatorenal syndrome,Mental confusion,Muscle jerks,Decreased urine output,Nausea and vomiting,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary angioedema,Airway blockage  involves throat swelling and sudden hoarseness,Repeat episodes of abdominal cramping without obvious cause,Swelling in hands arms legs lips eyes tongue throat or genitals,Swelling of intestines  can be severe and lead to abdominal cramping vomiting dehydration diarrhea pain and occasionally shock,A nonitchy red rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary elliptocytosis,Fatigue,Shortness of breath,Yellow skin and eyes jaundice,May continue forlong time innewborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary fructose intolerance,Convulsions,Excessive sleepiness,Irritability,Yellow skin or whites of eyes jaundice,Poor feeding asbaby,Problems after eating fruits and other foods that contain fructose or sucrose,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary hemorrhagic telangiectasia,Frequent nosebleeds in children,Bleeding in gastrointestinal tract including loss of blood in stool or dark or black stools,Seizures or unexplained small strokes from bleeding into brain,Shortness of breath,Enlarged liver,Heart failure,Anemia caused by low iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary ovalocytosis,Newborn infants with ovalocytosis may have anemia and jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary spherocytic anemia,Fatigue,Irritability,Shortness of breath,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary urea cycle abnormality,Confusion,Decreased food intake,Dislike of foods that contain protein,Increased sleepiness difficulty waking up,Nausea vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hernia,Nausea and vomiting,Not being able to pass gas or have bowel movements,When this occurs surgery is needed right away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herniated disk,Withslipped disk in your lower back you may have sharp pain in one part of leg hip or buttocks and numbness in other parts,You may also feel pain or numbness on back of calf or sole of foot,The same leg may also feel weak,Withslipped disk in your neck you may have pain when moving your neck deep pain near or over shoulder blade or pain that moves to upper arm forearm and fingers,You can also have numbness along your shoulder elbow forearm and fingers,The pain often starts slowly,It may get worse after standing or sitting at night,When sneezing coughing or laughing,When bending backward or walking more thanfew yards or meters,When straining or holding your breath such as when havingbowel movement,You may also have weakness in certain muscles,Sometimes you may not notice it until your health care provider examines you,In other cases you will notice that you havehard time lifting your leg or arm standing on your toes on one side squeezing tightly with one of your hands or other problems,Your bladder control may be lost,The pain numbness or weakness often goes away or improveslot over weeks to months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heroin overdose,People use heroin to get high,But ify overdose on ity get extremely sleepy or may become unconsciousness and stop breathing,No breathing,Shallow breathing,Slow and difficult breathing,Dry mouth,Extremely small pupils sometimes as small as head ofpin pinpoint pupils,Discolored tongue,Low blood pressure,Weak pulse,Bluishcolored nails and lips,Constipation,Spasms of stomach and intestines,Coma,Delirium,Disorientation,Drowsiness,Uncontrolled muscle movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpangina,Fever,Headache,Loss of appetite,Sore throat or painful swallowing,Ulcers in mouth and throat and similar sores on feet hands and buttocks,The ulcers most often havewhite to whitishgray base andred border,They may be very painful,In most casesre are onlyfew sores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpes - oral,Itching of lips or skin around mouth,Burning near lips or mouth area,Tingling near lips or mouth area,Before blisters appear you may have sore throat fever swollen glands painful swallowing,Blisters orrash may form on your gums lips mouth throat,Many blisters are calledoutbreak,Red blisters that break open and leak,Small blisters filled with clear yellowish fluid,Several smaller blisters that may grow together intolarge blister,Yellow and crusty blister as it heals which eventually turns into pink skin,Menstruation or hormone changes,Being out in sun,Fever,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpetic stomatitis,Blisters in mouth often on tongue cheeks roof of mouth gums and on border between inside of lip and skin next to it,After blisters popy form ulcers in mouth often on tongue or cheeks,Difficulty swallowing,Drooling,Fever often as high as 104f,Irritability,Mouth pain,Swollen gums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiatal hernia,Chest pain,Heartburn worse when bending over or lying down,Swallowing difficulty,Pain and discomfort are due to upward flow of stomach acid air or bile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High arch,Shortened foot length,Difficulty fitting shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High blood pressure - adults,Severe headache,Nausea and vomiting,Confusion,Vision changes,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High blood pressure - children,High blood pressure is often discovered duringcheckup whenprovider checks your childs blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High blood pressure and eye disease,Double vision dim vision or vision loss,Headaches,It often means that blood pressure is very high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High blood pressure in infants,Bluish skin,Failure to grow and gain weight,Frequent urinary tract infections,Pale skin pallor,Rapid breathing,Irritability,Seizures,Trouble breathing,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High potassium level,Nauseaor vomiting,Difficulty breathing,Slow weak or irregular pulse,Chest pain,Palpitations,Sudden collapse when heartbeat gets too slow or even stops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hirschsprung disease,Difficulty with bowel movements,Failure to pass meconium shortly after birth,Failure to passfirst stool within 24 to 48 hours after birth,Infrequent but explosive stools,Jaundice,Poor feeding,Poor weight gain,Vomiting,Watery diarrhea in newborn,Constipation that gradually gets worse,Fecal impaction,Malnutrition,Slow growth,Swollen belly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histiocytosis,Abdominal pain,Bone pain,Delayed puberty,Dizziness,Ear drainage that continues longterm,Eyes that appear to stick out more and more,Irritability,Failure to thrive,Fever,Frequent urination,Headache,Jaundice,Limping,Mental decline,Rash,Seborrheic dermatitis of scalp,Seizures,Short stature,Swollen lymph glands,Thirst,Vomiting,Weight loss,Note,Children over 5 years old often have only bone involvement,Bone pain,Chest pain,Cough,Fever,General discomfort uneasiness or ill feeling,Increased amount of urine,Rash,Shortness of breath,Thirst and increased drinking of fluids,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histoplasmosis,Fever and chills,Cough and chest pain that gets worse when breathing in,Joint pain,Mouth sores,Red skin bumps most often on lower legs,Sometimes lung infection may become chronic,Chest pain and shortness of breath,Cough possibly coughing up blood,Fever and sweating,Insmall number of people especially in those withweakened immune system histoplasmosis spreads throughout body,This is called disseminated histoplasmosis,In response to infection irritation and swelling inflammation occur,Chest pain from inflammation of saclike covering around heart pericarditis,Headache and neck stiffness from swelling of membranes covering of brain and spinal cord meningitis,High fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histoplasmosis - acute (primary) pulmonary,Chest pain,Chills,Cough,Fever,Joint pain and stiffness,Muscle aches and stiffness,Rash usually small sores on lower legs,Shortness of breath,Acute pulmonary histoplasmosis can beserious illness in very young older people and people withweakened immune system including those who,Have,Have had bone marrow or solid organ transplants,Take medicines that suppressir immune system,Inflammation around heart called pericarditis,Serious lung infections,Severe joint pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histrionic personality disorder,Acting or looking overly seductive,Being easily influenced by other people,Being overly concerned withir looks,Being overly dramatic and emotional,Being overly sensitive to criticism or disapproval,Believing that relationships are more intimate thany actually are,Blaming failure or disappointment on others,Constantly seeking reassurance or approval,Havinglow tolerance for frustration or delayed gratification,Needing to be center of attention selfcenteredness,Quickly changing emotions which may seem shallow to others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV/AIDS,Fever and muscle pains,Headache,Sore throat,Night sweats,Mouth sores including yeast infection thrush,Swollen lymph glands,Diarrhea,This stage can last 10 years or longer,During this period person might have no reason to suspecty have hiv buty can spreadthe virus to others,Ify are not treated almost all people infected with this will develop,Some people develop withinfew years of infection,Others remain completely healthy after 10 or even 20 years,They are at very high risk of getting infections that are uncommon in people withhealthy immune system,These infections are called opportunistic infections,These can be caused by bacteria viruses fungi or protozoa and can affect any part of body,People are also at higher risk for certain cancers especially lymphomas andskin cancer ,Lung infections are common and usually cause cough fever and shortness of breath,Intestinal infections are also common and can cause diarrhea abdominal pain vomiting or swallowing problems,Weight loss fever sweats rashes and swollen lymph glands are common in people ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV/AIDS in pregnant women and infants,Yeast candida infections in mouth,Failure to gain weight and grow,Swollen lymph glands,Swollen salivary glands,Enlarged spleen or liver,Ear and sinus infections,Upper respiratory tract infections,Being slow to walk crawl or speak compared to healthy babies,Diarrhea,Without treatmentchilds immune system weakens over time and infections that are uncommon in healthy children develop,These are severe infections in body,They can be caused by bacteria viruses fungi or protozoa,At this point illness has become fullblown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hives,Itching,Swelling of surface of skin into red or skincolored welts called wheals with clearly defined edges,Wheals may get bigger spread and join together to form larger areas of flat raised skin,Wheals often change shape disappear and reappear within minutes or hours,It is unusual forwheal to last more than 48 hours,Dermatographism istype of hives,It is caused by pressure on skin and results in immediate hives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodgkin lymphoma,Feeling very tired all time,Fever and chills that come and go,Itching all over body that cannot be explained,Loss of appetite,Drenching night sweats,Painless swelling of lymph nodes in neck armpits or groin swollen glands,Weight loss that cannot be explained,Coughing chest pains or breathing problems ifre are swollen lymph nodes in chest,Excessive sweating,Pain or feeling of fullness below ribs due to swollen spleen or liver,Pain in lymph nodes after drinking alcohol,Skin blushing or flushing,Hodgkin lymphoma may occur with other conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodgkin lymphoma in children,Painless swelling of lymph nodes in neck armpits or groin swollen glands,Unexplained fever,Unexplained weight loss,Night sweats,Fatigue,Loss of appetite,Itching all over body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homocystinuria,Chest deformities pectus carinatum pectus excavatum,Flush across cheeks,High arches of feet,Intellectual disability,Knock knees,Long limbs,Mental disorders,Nearsightedness,Spidery fingers arachnodactyly,Tall thin build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hookworm infection,Abdominal discomfort,Cough,Diarrhea,Fatigue,Fever,Gas,Itchy rash,Loss of appetite,Nausea vomiting,Pale skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horner syndrome,Decreased sweating on affected side of face,Drooping eyelid ptosis,Sinking of eyeball into face,Different sizes of pupils of eyes anisocoria,These may include,Vertigo sensation that surroundings are spinning with nausea and vomiting,Double vision,Lack of muscle control and coordination,Arm pain weakness and numbness,One sided neck and ear pain,Hoarseness,Hearing loss,Bladder and bowel difficulty,Overreaction of involuntary autonomic nervous system to stimulation hyperreflexia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital-acquired pneumonia,A cough with greenish or puslike phlegm sputum,Fever and chills,General discomfort uneasiness or ill feeling malaise,Loss of appetite,Nausea and vomiting,Sharp chest pain that gets worse with deep breathing or coughing,Shortness of breath,Decreased blood pressure and fast heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot tub folliculitis,Turn into dark red tender nodules,Have bumps that fill with pus,Look like acne,Be thicker under swimsuit areas where water was in contact with skin for longer,Other people whoused hot tub may have same rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household glue poisoning,Anxiety,Convulsions from breathing in large amounts,Drunk dazed or dizzy appearance,Excitability,Headache,Irritability,Loss of appetite,Nausea,Red runny nose,Low oxygen level in blood and organs respiratory failure,Stupor,Seizures,Coma,Severe poisonings caused by swallowing glue may cause,Blockage of passage from stomach into small intestine which causes abdominal pain nausea and vomiting,Blockage in intestinessmall and large bowel with abdominal painnausea and vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
